"","COVID.19.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Pneumonia..Influenza..or.COVID.19.Deaths","Influenza.Deaths"
"1",7804,5776,2604,11106,143
"2",4182,3149,1431,5979,87
"3",768,568,242,1123,30
"4",621,464,194,915,25
"5",1164,881,410,1659,26
"6",1242,909,427,1734,13
"7",3622,2627,1173,5127,56
"8",547,443,170,837,18
"9",424,368,132,671,12
"10",797,588,270,1130,15
"11",1028,773,371,1439,10
"12",11512,10675,6783,15551,149
"13",6778,6254,4085,9026,80
"14",1337,1195,809,1745,22
"15",1036,947,626,1372,15
"16",1617,1528,1015,2149,19
"17",1977,1863,1214,2640,15
"18",1350,1277,771,1868,12
"19",4734,4421,2698,6525,69
"20",727,697,438,1000,15
"21",601,570,357,825,11
"22",1040,1027,653,1433,19
"23",1307,1241,763,1800,15
"24",1378,1218,688,1918,10
"25",4721,4349,2154,7012,103
"26",2406,2314,1177,3593,52
"27",383,405,190,615,18
"28",311,332,155,503,15
"29",575,559,287,860,13
"30",2315,2035,977,3419,51
"31",251,296,128,430,12
"32",427,440,219,661,14
"33",900,616,303,1224,13
"34",41014,42084,23437,60470,820
"35",23797,24148,13940,34419,419
"36",262,241,114,405,16
"37",1644,1400,897,2193,47
"38",708,609,378,961,23
"39",1921,1637,1105,2498,45
"40",5275,4837,3146,7082,117
"41",4114,3833,2474,5559,87
"42",5716,5771,3479,8092,87
"43",5830,6301,3547,8658,74
"44",5185,5660,2815,8104,74
"45",17217,17936,9497,26051,401
"46",72,82,33,133,12
"47",129,130,62,216,19
"48",720,731,397,1100,47
"49",324,341,185,501,22
"50",745,793,444,1127,33
"51",2268,2457,1382,3424,81
"52",1827,1972,1108,2754,63
"53",3113,3437,1922,4699,73
"54",4459,4677,2575,6651,92
"55",6579,6525,3188,10004,89
"56",5390,4784,2660,7649,140
"57",2955,2734,1605,4152,70
"58",160,151,89,232,10
"59",428,437,233,655,23
"60",337,342,178,517,16
"61",669,690,402,971,14
"62",830,657,402,1098,15
"63",2435,2050,1055,3497,70
"64",202,262,117,368,21
"65",158,208,95,286,15
"66",384,378,199,573,12
"67",1128,743,412,1479,20
"68",5827,2912,1440,7388,92
"69",2810,1523,774,3602,46
"70",595,341,187,760,14
"71",782,405,214,984,11
"72",972,543,260,1265,10
"73",3015,1389,666,3784,46
"74",202,131,58,285,10
"75",737,356,190,918,15
"76",1644,640,306,1991,13
"77",1014,835,417,1453,22
"78",510,413,192,745,14
"79",24826,28109,14565,38821,488
"80",14088,16089,8587,21823,252
"81",557,595,320,860,29
"82",244,261,131,384,10
"83",652,688,377,991,30
"84",2172,2442,1300,3372,60
"85",1781,2009,1080,2754,44
"86",3394,3900,2123,5221,56
"87",4372,4930,2710,6648,61
"88",3537,4124,2110,5582,35
"89",10738,12020,5978,16998,236
"90",318,411,181,579,31
"91",137,186,72,264,13
"92",352,438,200,610,21
"93",1186,1537,685,2078,43
"94",976,1274,571,1711,34
"95",2051,2407,1213,3295,52
"96",3128,3446,1819,4803,51
"97",4022,4149,2064,6149,51
"98",11582,10377,5829,16323,198
"99",6174,5669,3234,8702,97
"100",316,262,141,449,14
"101",1176,1059,578,1678,21
"102",929,853,455,1343,16
"103",1680,1534,905,2333,25
"104",1824,1726,1027,2539,17
"105",1146,1047,577,1629,13
"106",5408,4708,2595,7621,101
"107",233,221,101,366,13
"108",244,247,127,374,10
"109",805,799,425,1208,29
"110",662,650,346,990,24
"111",1192,1054,590,1681,25
"112",1509,1306,762,2074,21
"113",1638,1301,704,2244,10
"114",382,864,186,1086,26
"115",234,504,116,638,16
"116",148,360,70,448,10
"117",1654,1312,708,2290,36
"118",963,770,445,1307,22
"119",691,542,263,983,14
"120",18389,15728,8988,25347,224
"121",9948,8670,5193,13518,96
"122",1637,1412,857,2214,23
"123",1303,1139,695,1766,20
"124",2415,2106,1318,3220,17
"125",2767,2529,1539,3780,24
"126",2588,2235,1252,3593,23
"127",8441,7058,3795,11829,128
"128",862,857,452,1290,23
"129",696,698,365,1048,19
"130",1418,1288,736,1986,17
"131",2153,1928,1049,3061,31
"132",3773,2754,1453,5121,47
"133",9709,8825,4475,14229,176
"134",4946,4761,2518,7263,78
"135",645,742,354,1047,15
"136",552,620,303,881,13
"137",1120,1163,622,1676,16
"138",1593,1498,838,2275,24
"139",1454,1186,640,2014,14
"140",4763,4064,1957,6966,98
"141",402,553,226,746,17
"142",336,457,189,616,12
"143",775,846,405,1233,17
"144",1300,1145,592,1874,22
"145",2199,1392,688,2934,32
"146",5066,3526,1729,6957,96
"147",2628,1918,977,3605,38
"148",498,411,202,717,10
"149",788,558,288,1068,11
"150",2438,1608,752,3352,58
"151",331,275,139,480,13
"152",640,427,198,881,12
"153",1254,712,329,1662,25
"154",4057,3212,1706,5682,122
"155",2179,1790,985,3038,57
"156",271,252,144,390,11
"157",225,218,125,329,11
"158",446,414,213,657,11
"159",693,541,339,912,19
"160",677,508,258,938,11
"161",1878,1422,721,2644,65
"162",160,163,77,257,11
"163",130,128,62,206,10
"164",300,276,135,453,12
"165",483,375,209,668,19
"166",890,574,288,1192,16
"167",4938,6157,2349,8886,145
"168",2412,3277,1270,4486,69
"169",338,573,172,758,19
"170",283,481,145,634,15
"171",653,877,364,1183,19
"172",725,986,407,1319,15
"173",627,694,294,1039,12
"174",2526,2880,1079,4400,76
"175",269,430,135,581,18
"176",221,351,113,474,16
"177",446,635,221,879,20
"178",702,828,328,1214,13
"179",1071,869,370,1584,14
"180",7439,5937,3758,9706,95
"181",4011,3213,2070,5190,40
"182",727,575,371,940,10
"183",1095,898,591,1412,12
"184",3428,2724,1688,4516,55
"185",525,445,269,712,13
"186",1020,770,501,1301,12
"187",1013,778,462,1340,11
"188",649,1114,146,1654,37
"189",307,621,83,862,17
"190",342,493,63,792,20
"191",187,198,31,366,12
"192",7653,6418,2973,11231,151
"193",3932,3441,1614,5826,75
"194",693,557,280,983,17
"195",542,433,212,774,14
"196",867,778,384,1271,10
"197",1150,1029,501,1696,18
"198",998,909,374,1547,18
"199",3721,2977,1359,5405,76
"200",405,361,158,622,15
"201",324,295,131,501,14
"202",676,575,273,994,17
"203",981,798,405,1391,21
"204",1551,1123,485,2204,19
"205",11275,8256,4299,15438,215
"206",5493,4380,2295,7693,119
"207",110,90,39,171,10
"208",141,107,52,206,10
"209",601,523,263,890,30
"210",509,449,231,751,25
"211",1075,933,478,1554,24
"212",1649,1296,701,2274,31
"213",2049,1525,812,2783,23
"214",5782,3876,2004,7745,96
"215",336,306,148,505,14
"216",277,258,133,410,10
"217",705,571,304,985,13
"218",1440,1083,572,1976,25
"219",3246,1862,961,4185,40
"220",13086,12087,6452,18993,285
"221",7018,6653,3672,10130,141
"222",260,254,130,395,11
"223",346,317,191,487,15
"224",1074,1104,593,1621,36
"225",866,915,478,1328,25
"226",1787,1674,972,2524,40
"227",2138,1989,1134,3016,27
"228",1735,1584,834,2507,23
"229",6067,5433,2779,8862,144
"230",190,202,106,296,10
"231",638,745,366,1056,39
"232",528,620,302,876,30
"233",1170,1190,632,1760,32
"234",1632,1431,772,2322,33
"235",2460,1872,927,3433,28
"236",6289,4787,2128,9097,153
"237",3246,2590,1217,4696,79
"238",341,312,145,525,17
"239",276,249,118,419,12
"240",607,549,277,897,19
"241",1017,770,358,1448,19
"242",1198,846,397,1663,17
"243",3043,2197,911,4401,74
"244",181,237,79,357,18
"245",146,193,68,287,16
"246",407,359,159,622,16
"247",744,580,249,1087,12
"248",1668,960,416,2231,20
"249",5607,5502,2985,8188,73
"250",2921,2962,1606,4314,43
"251",514,579,279,822,10
